Ministère / Département,,MINISTERE DE L'AGRICULTURE. DE LA PECHE MARITIME. DU DEVELOPPEMENT
RURAL ET DES EAUX ET FORETS (20),,
زارة / قطاع,,
Ordonnateur,,CHFF DU PROJET PROVISOIR D'AMENAGEMENT HYDROAGRICOLE DE LA PLAINE DE
SAISS (5370),,
Sous Ordonnateur,,CHFE DU PROJET PROVISOIR D'AMENAGEMENT HYDROAGRICOLE DE LA PLAINE DE
SAISS (5370),115,
Comptable Assignataire,,TRESORERIE PREFECTORALE FES (1005)
المحارب المكاف,,
Type Budget,Chapitre,Mode de Dépense particulière
BG VIREMENT,1222020000,
Cortifia par nous. Ordannatour la procent pordoreau c'oloyant do cont million trois cont covento,,
